schema_version,finding_id,run_id,rule_id,category,severity,source_marker,sink_kind,sink_value,evidence_seq_start,evidence_seq_end,summary
1,finding:v1:2d4cf0e81af06dc9ae94d369f0f22394050ebe0faefa79a06ecbe2a798452355,run_0081ee7c8c9f451881e98edf,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f2c08808000 length uint64 1400832 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 155648 6 9953 00704d92c4b77765e5dc378bdc272658c2888775bc2120f4978731ca484ae59e skillsissue-sandbox:local skillsissue-target-run_0081ee7c8c9f451881e98edf 00704d92c4b77765e5dc378bdc272658c2888775bc2120f4978731ca484ae59e 9 mmap  00704d92c4b7 24239 24826 24826 skillsissue-detonation 4026532401 694506459 1 4026532405 3345534468 66 sh 3 139827097927680 detonation mmap 3345534468 66 1785511617385542233 1785511617386472619 65532,1332,1332,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2d525ebf4b36e09713d96be7e02a00a69ec2ddf52c2b32819b5ace281c175e92,run_8494e00208e6a4c580ba5165,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7fe32e99c000 length uint64 475136 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 65536 6 9032 ad0eba01a1d5eb7c7309157c47f87b891b24de5879e2d966182bf7ad44b4f464 skillsissue-sandbox:local skillsissue-target-run_8494e00208e6a4c580ba5165 ad0eba01a1d5eb7c7309157c47f87b891b24de5879e2d966182bf7ad44b4f464 9 mmap  ad0eba01a1d5 20864 20865 20865 skillsissue-detonation 4026532448 2341853795 37 4026532451 3901209848 38 python 2 140613716131840 detonation mmap 3901209848 38 1785511545396990412 1785511545397369719 65532,668,668,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2d57a2cc6fd54bdd7185ae94bb37ad36e4f0b6e15ea9a55cc7f6b4ab180d8ffa,run_010950d84b24536b96dd4893,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7fa2d7001000 length uint64 1400832 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 155648 6 8957 b4865856526a6c2ea24f14d20708e9e4ca631dba434859646ddfa49f8b48e321 skillsissue-sandbox:local skillsissue-target-run_010950d84b24536b96dd4893 b4865856526a6c2ea24f14d20708e9e4ca631dba434859646ddfa49f8b48e321 9 mmap  b4865856526a 20898 21562 21562 skillsissue-detonation 4026532401 3834922318 1 4026532404 945518505 71 sh 2 140337368535040 detonation mmap 945518505 71 1785511571302747524 1785511571303607096 65532,568,568,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2d6287a52db7677c6752298562063c22b68451ff03370d9fac69c06905ce58cb,run_f618d7251fe6b58ee8a9933c,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f3581a94000 length uint64 77824 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 12288 6 9043 e2b4757f30c30a1a88ac7c358bd6726cc132945404d408a554a444cd8181b100 skillsissue-sandbox:local skillsissue-target-run_f618d7251fe6b58ee8a9933c e2b4757f30c30a1a88ac7c358bd6726cc132945404d408a554a444cd8181b100 9 mmap  e2b4757f30c3 20703 21363 21363 skillsissue-detonation 4026532401 157725062 1 4026532404 2310735173 82 python3 2 139867785347072 detonation mmap 2310735173 82 1785509545865134653 1785509545866163077 65532,2357,2357,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2e3ac0e0c165ea962a5173adf31b0d8ab5feb9ac34f3ac48ef31473d7216650d,run_872aa26266a0557d6918aabe,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7fbbb62fd000 length uint64 28672 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 8192 6 9104 2c44de988926151e1b8a2f2569d26b8f41120ab074f9ce124d29571792b635f2 skillsissue-sandbox:local skillsissue-target-run_872aa26266a0557d6918aabe 2c44de988926151e1b8a2f2569d26b8f41120ab074f9ce124d29571792b635f2 9 mmap  2c44de988926 20690 21316 21316 skillsissue-detonation 4026532400 1471477463 1 4026532403 3750445848 62 python3 3 140444192198656 detonation mmap 3750445848 62 1785489241027716199 1785489241054051663 65532,829,829,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2e4617b2c112b83d41df08d75a82229636427c609ca6d6137a7c31b9c63a313e,run_56b3ee099af0ba27d2681f57,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f57d5051000 length uint64 40960 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 16384 6 9903 e7b5c8018a987988467946ae6b5e09bed646477ce4b1d3553cbb340ee8e92c3a skillsissue-sandbox:local skillsissue-target-run_56b3ee099af0ba27d2681f57 e7b5c8018a987988467946ae6b5e09bed646477ce4b1d3553cbb340ee8e92c3a 9 mmap  e7b5c8018a98 24892 24893 24893 skillsissue-detonation 4026532401 3733805093 61 4026532404 2536993141 62 python 2 140015212761088 detonation mmap 2536993141 62 1785511601848272862 1785511602056111146 65532,2869,2869,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2e7e40c929dbe58466694900e4088e3cf997847f6874d4f5862aaee848eeaf59,run_ddab0f4542ca166da10de225,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,/proc/meminfo,635,907,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2ebed1098b66c728dbdf2063fda0c60779d4c3490cb7e002c98271d5651443ba,run_62eca544fcc9067cda7b7a37,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7feb6d4be000 length uint64 475136 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 65536 6 9018 894ef5d139ecc8dacefcfcf38f28ceaf46fae169c712468ceedc939bafb093d3 skillsissue-sandbox:local skillsissue-target-run_62eca544fcc9067cda7b7a37 894ef5d139ecc8dacefcfcf38f28ceaf46fae169c712468ceedc939bafb093d3 9 mmap  894ef5d139ec 21330 21331 21331 skillsissue-detonation 4026532401 1117196026 76 4026532404 2101267874 77 python 1 140649127731200 detonation mmap 2101267874 77 1785506382497586448 1785506382498274349 65532,1865,1865,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2ebf5609bc29ff0743360f8bfb0faca173d3d65c620a6e3d9a9c3a0876d28a86,run_c7beaacbe1407d84a6fc615b,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f572c0da000 length uint64 77824 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 12288 6 9706 6f26c1bf17fb966d5e7319e2fe5572c3c1489941a2cd74bbf9e8a38c9d15e31f skillsissue-sandbox:local skillsissue-target-run_c7beaacbe1407d84a6fc615b 6f26c1bf17fb966d5e7319e2fe5572c3c1489941a2cd74bbf9e8a38c9d15e31f 9 mmap  6f26c1bf17fb 23771 23772 23772 skillsissue-detonation 4026532448 2163947548 37 4026532451 3917539113 38 python 2 140012377972736 detonation mmap 3917539113 38 1785511585094965388 1785511585095408054 65532,414,414,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2ed5b261ed28d42ceba3640922015596e76f19ac55d5923b48cc0de020efa099,run_d5300416799143c3e477d2f6,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7fe6bb770000 length uint64 475136 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 65536 6 9365 0fd061b3b0169bc10193c37df4a1f7d2ca0a7bcc24b725d36117c21a0ae13fd3 skillsissue-sandbox:local skillsissue-target-run_d5300416799143c3e477d2f6 0fd061b3b0169bc10193c37df4a1f7d2ca0a7bcc24b725d36117c21a0ae13fd3 9 mmap  0fd061b3b016 20727 21351 21351 skillsissue-detonation 4026532401 4037558632 1 4026532404 2946433095 62 python3 1 140628964343808 detonation mmap 2946433095 62 1785509548691874962 1785509548692891028 65532,543,543,"Observed process injection, executable anonymous memory, or memory-resident execution"
